"RowIndex","Prediction"
1,-6.69149605144809
2,-15.4452595075715
3,7.47153842023301
4,16.2431382511562
5,-0.155484090468954
6,27.6298411749766
7,3.77388432913037
8,-4.17146114711498
9,13.3913080038188
10,-3.63407224866616
11,0.201040464409543
12,-8.05831529325431
13,-3.24226863741389
14,34.5501021273936
15,-0.93470744404934
16,-6.80003446716659
17,-1.71139701017781
18,-13.4105872660513
19,-0.296984759258955
20,-6.56817157224366
21,-17.0458412618552
22,0.556136606624658
23,-7.14256161209866
24,19.117226541117
25,-8.87424832982118
26,0.911473478860114
27,-10.5386176018317
28,-0.72235108965884
29,-0.405878791207605
30,-7.4453366771067
31,3.36649509856448
32,3.82082729705087
33,9.48138178791065
34,-2.3623532891643
35,-6.21434273295344
36,-2.79153541058662
37,4.54223172320392
38,4.05472279610071
39,-5.21379461413197
40,34.5795986456567
41,-15.7180563324118
42,7.0380780853612
43,-11.2965194039387
44,-14.2525024678975
45,2.49070905252578
46,-7.34178317508947
47,0.622264605662702
48,-11.601517989309
49,-9.47141620254522
50,-2.35651336837081
51,-2.38055573010421
52,13.8837886814351
53,18.3294879267211
54,-1.24849927976996
55,19.8957452407105
56,-16.2501616180294
57,-4.16906394202603
58,27.039502498533
59,-12.0199282569935
60,-4.99286430109266
61,6.56469515578575
62,-4.02360615869577
63,-0.72235108965884
64,31.90904167857
65,-8.71997970439272
66,12.4869204875792
67,24.1656082722774
68,-9.23040034737565
69,0.719169831032702
70,-7.01073654294204
71,29.1186254123702
72,31.8007298687796
73,32.5730873333064
74,-0.524007146546649
75,-2.09906672672846
76,-2.16632917998144
77,-2.51477995071487
78,-7.64888922818762
79,-0.989842292793048
80,3.08961033394053
81,-10.8665332433594
82,-0.632609724161069
83,30.9920897825533
84,-1.65976682822232
85,-12.8431023422119
86,-7.44726744543843
87,-12.484068134562
88,4.6546121545133
89,-15.6899745000831
90,-9.81407436499689
