order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ00397,2018-08-12,15:26:11,Lunch,NS,"[('Chicken', 4), ('Fries', 10), ('Salad', 1)]",265.2,-37.8136019,144.9648752,0,7.903,15.4735058
ORDA00088,2018-02-09,09:10:59,Breakfast,BK,"[('Cereal', 7), ('Coffee', 3)]",169.5,-37.8147538,144.968845,0,7.308,11.8096431
ORDK00247,2018-09-12,16:27:02,Dinner,BK,"[('Pasta', 8), ('Fish&Chips', 7), ('Shrimp', 6)]",789.0,-37.8158864,144.9461111,0,9.183,15.8764614
ORDB02806,2018-10-28,17:58:18,Dinner,TP,"[('Shrimp', 8), ('Salmon', 1), ('Fish&Chips', 7)]",718.0,-37.8090972,144.9479287,0,9.653,15.4053919
ORDB08715,2018-03-20,10:32:06,Breakfast,,"[('Cereal', 9), ('Eggs', 10), ('Coffee', 6)]",454.0,-37.8098569,144.958443,0,,11.6734537
ORDC07231,2018-09-17,16:37:10,Dinner,NS,"[('Pasta', 9), ('Fish&Chips', 5)]",422.5,-37.8197216,144.9691629,0,8.651,14.6277571
ORDK09715,2018-02-09,09:10:59,Breakfast,BK,"[('Cereal', 8), ('Eggs', 3)]",234.0,-37.8157898,144.9693159,0,7.238,12.4660982
ORDZ06766,2018-01-05,08:00:00,Breakfast,,"[('Coffee', 4), ('Cereal', 2), ('Pancake', 4)]",169.0,-37.8132995,144.9370402,1,,7.5435811
ORDA08699,2018-04-30,11:53:14,Breakfast,BK,"[('Pancake', 6), ('Eggs', 6), ('Coffee', 4)]",307.5,-37.8193052,144.9517384,0,8.936,14.1381236
ORDI02053,2018-09-05,16:06:45,Dinner,,"[('Salmon', 1), ('Pasta', 8)]",261.0,-37.8152417,144.9276167,0,10.733,16.7455704
ORDX06979,2018-09-20,16:37:10,Dinner,BK,"[('Pasta', 6), ('Salmon', 2)]",247.0,-37.8145666,145.0143837,0,4.417,10.6760785
ORDZ09646,2018-12-25,19:49:51,Dinner,,"[('Pasta', 4), ('Shrimp', 5)]",380.0,-37.8005165,144.9848006,0,,13.266264
ORDA01385,2018-08-07,15:16:03,Lunch,BK,"[('Salad', 3), ('Burger', 8), ('Steak', 7), ('Chicken', 9)]",902.6,-37.8098827,144.9433844,0,9.615,
ORDI00537,2018-10-04,17:07:36,Dinner,NS,"[('Salmon', 9), ('Pasta', 7), ('Fish&Chips', 1)]",596.5,-37.808675,144.9423368,0,9.937,16.691474
ORDZ09437,2018-11-28,18:59:09,Dinner,,"[('Shrimp', 6), ('Salmon', 5), ('Fish&Chips', 3), ('Pasta', 8)]",854.0,-37.8204674,144.9663312,0,,14.6155351
ORDZ03411,2018-12-14,19:29:34,Dinner,NS,"[('Shrimp', 6), ('Pasta', 1), ('Fish&Chips', 9), ('Salmon', 10)]",1076.5,-37.8234116,144.9768943,0,9.09,
ORDC04146,2018-04-07,11:02:32,Breakfast,,"[('Cereal', 4), ('Pancake', 10), ('Eggs', 3), ('Coffee', 3)]",415.0,-37.8114157,144.9730729,0,,14.8903312
ORDC09287,2018-03-31,10:52:23,Breakfast,,"[('Pancake', 7), ('Cereal', 4), ('Coffee', 10)]",328.75,-37.824711,144.9456551,0,,16.9919287
ORDB06134,2018-11-05,18:08:27,Dinner,TP,"[('Shrimp', 4), ('Pasta', 9), ('Fish&Chips', 7), ('Salmon', 1)]",749.5,-37.8195079,144.9530685,0,8.513,12.6470928
ORDX02267,2018-07-26,14:45:38,Lunch,BK,"[('Steak', 9), ('Fries', 7), ('Salad', 1), ('Burger', 7)]",723.2,-37.8042176,144.9682766,0,7.294,12.7323877
ORDI05128,2018-08-29,15:56:37,Lunch,NS,"[('Chicken', 8), ('Burger', 7), ('Fries', 3), ('Steak', 1)]",554.0,-37.8116299,144.956389,0,8.112,13.5016151
ORDI04156,2018-09-24,16:47:19,Dinner,NS,"[('Fish&Chips', 3), ('Salmon', 6), ('Pasta', 5), ('Shrimp', 6)]",812.5,-37.8167346,144.9881896,0,9.047,14.8689516
ORDJ07594,2018-11-14,18:28:43,Dinner,TP,"[('Salmon', 10), ('Pasta', 5), ('Fish&Chips', 8), ('Shrimp', 3)]",989.5,-37.8009621,144.9628676,0,9.693,13.9227147
ORDZ06640,2018-08-07,15:16:03,Lunch,NS,"[('Steak', 1), ('Chicken', 3), ('Fries', 6)]",213.0,-37.8115567,144.9568154,0,8.072,13.6218766
ORDZ00989,2018-08-03,15:05:54,Lunch,NS,"[('Steak', 7), ('Fries', 2)]",339.0,-37.8186761,144.9671674,0,8.515,13.725973
ORDZ10565,2018-09-28,16:57:27,Dinner,NS,"[('Fish&Chips', 6), ('Shrimp', 6)]",534.0,-37.8062153,144.9497858,0,8.507,
ORDX09516,2018-02-02,09:00:50,Breakfast,,"[('Coffee', 6), ('Eggs', 10)]",265.0,-37.7986482,144.9271207,0,,16.4352752
ORDJ05331,2018-06-07,13:14:21,Lunch,TP,"[('Salad', 1), ('Steak', 6), ('Burger', 4)]",411.2,-37.8036069,144.9490314,0,9.923,12.8168076
ORDA02604,2018-01-28,08:50:42,Breakfast,BK,"[('Coffee', 9), ('Cereal', 5), ('Pancake', 10)]",415.0,-37.8102036,144.9370154,0,10.012,17.5546767
